Accession Number	Entrez Gene Symbol	Kinase Target	ABT-869	AMG-706	AST-487	AZD-1152HQPA	BIRB-796	BMS-387032/SNS-032	CHIR-258/TKI-258	CHIR-265/RAF-265	CI-1033	CP-690550	CP-724714	Dasatinib	EKB-569	Erlotinib	Flavopiridol	Gefitinib	GW-2580	GW-786034	Imatinib	JNJ-7706621	Lapatinib	LY-333531	MLN-518	MLN-8054	PI-103	PKC-412	PTK-787	Roscovitine	SB-202190	SB-203580	SB-431542	Sorafenib	Staurosporine	SU-14813	Sunitinib	VX-680/MK-0457	VX-745	ZD-6474
NP_112168.1	STK33	STK33	3800		1200										4500		1700							3100										2400	1.8	130	17			1400
NP_056505.1	STK36	STK36			1300	4600		260			4500			210	4000					470											790	1300		3800	6700					
NP_003168.2	SYK	SYK			600									2900	7200							1300						88							14			1800		
NP_003206.1	TEC	TEC									1500			13								1000				730									1300					
NP_006276.2	TESK1	TESK1			2400						3200			33								3100													320			5600		3700
NP_004603.1	TGFBR1	TGFBR1									9600			230																		7100	170		2000					
NP_003233.4	TGFBR2	TGFBR2			260			2400			800			2900			5600															1800								
NP_005415.1	TIE1	TIE1	110		0.29	350	8.3		4000	150	2200				1000	850				700		260				1600		1400						68	65			270		1500
NP_000450.2	TEK	TIE2	450		19	1900	20			1300												950				300		1900						2100	140			450		1000
NP_036422.3	TLK1	TLK1																				1100													27	630	740			
AAF03095.1	TLK2	TLK2							2600													750													16	270	330			
NP_055843.1	TNIK	TNIK			69		140		24	1500				2000	170					310								1600			1600	820			4.7	90	25	1800		2300
AAH35782.1	TNK1	TNK1			60							640				630						980				2400		83						2300	2.5	1500	680	83		
NP_001010938.1	TNK2	TNK2												5.6	5200													120							16	4900	8900	4400		
NP_057062.1	TNNI3K	TNNI3K		220	170					5900	5600			11	7200	570	55				4300	1400										3500		280	1000					2800
NP_001012331.1	NTRK1	TRKA	3100		320		1000		100										630						450			380						6300	4	480	100	38		
NP_006171.2	NTRK2	TRKB	1100		190		570		720										36						740			310						2100	3.8	990	590	240		
AAA75374.1	NTRK3	TRKC	210		34		190		190										120						2000			1700						600	17	220	5100	200		
NP_114417.1	TSSK1	TSSK1																										4800							24		6300			
NP_003309.2	TTK	TTK			230	8500	3300													150		190						350		1600	4500	2500		3500	61	180	63			
NP_003319.1	TXK	TXK									700			2.1	5500			6000		2600												4500			230			2700		3700
CAA38449.1 	TYK2	TYK2(Kin.Dom.2/JH1 - catalytic)			2100							620										32						250							56	5100	1600			
NP_006284.2	TYRO3	TYRO3							9300		1000				3700	3900										3100									280	2400	49			93
NP_002244.1	KDR	VEGFR2	8.1	26	200	500	3900		68	1300										14		3700						3200	62					59	220	2.3	1.5	2000		820
NP_003381.1	WEE1	WEE1							1200					7000	770																				1600	3000	1100	3200		
NP_060871.1	STK32B	YANK2	270												6000																4900	2100			98					
NP_775846.2	STK32C	YANK3																																	310					
NP_005424.1	YES1	YES			260	3800	4900		580	940	1600			0.3	1100	2200				5000						260		950							52	260	120	470	1600	120
NP_006365.2	STK25	YSK1			1200				1200						3400							360						1800							110	360	290	4800		
NP_598407.1	ZAK	ZAK		8	2.3	1700	860			63	1200			45	1200						2600								4400			4400		6.3				2800		5100
NP_997402.1	ZAP70	ZAP70																										2600							44					

